llm_model,model_pretty,ablation,ablation_pretty,modality,combo_model,prob,nrmse,w_img
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_5,Gradual noise,text_image,Bayes(stimulus),1.830843139075983e-38,1.2809980723244436,0.3055129425073754
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_5,Gradual noise,text_image,Bayes(range),5.3727782556198185e-55,0.6857708997502783,0.06077169408045763
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_5,Gradual noise,text_image,EmpiricalLinear,1.0,0.5108078626293008,0.7152338693813336
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_5,Gradual noise,text_image,Bayes(stimulus),1.3097354237239286e-27,0.6638686992791585,0.5295789725631864
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_5,Gradual noise,text_image,Equal,9.386089512613087e-30,0.7366345829680246,0.5
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_5,Gradual noise,text_image,Bayes(range),1.4442972764744781e-30,0.7317532070417232,0.5499631834117904
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,text_image,Equal,0.6108444510444561,0.23168187725244266,0.5
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,text_image,EmpiricalLinear,0.3716246197158553,0.22518653643766753,0.5261820315045856
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,text_image,Bayes(range),0.0175309271028287,0.22069774658702584,0.6263678603599862
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,text_image,Bayes(stimulus),2.1368599465182293e-09,0.28343596905242635,0.6702735311372187
gemma-3-4b-it,Gemma 3 4B it,base_5,Gradual noise,text_image,EmpiricalLinear,1.0,3.5708642841639335,0.24445377603407517
gemma-3-4b-it,Gemma 3 4B it,base_5,Gradual noise,text_image,Equal,7.449114063140034e-46,2.016145161167024,0.5
gemma-3-4b-it,Gemma 3 4B it,base_5,Gradual noise,text_image,Bayes(stimulus),2.701183763836222e-52,2.13191421589778,0.394832131686368
gemma-3-4b-it,Gemma 3 4B it,base_5,Gradual noise,text_image,Bayes(range),3.3807220946061164e-60,1.3546606102787908,0.15033045037799622
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_7,Longer Context,text_image,Bayes(range),0.5152497697065515,0.449492834587082,0.4942198039626042
